Date,Product,y,월,일,요일,년월,공휴일여부,소비자물가지수(2020＝100)_전국,기업경기실사지수(실적)_제 조 업,기업경기실사지수(전망)_제 조 업,경제심리지수_경제심리지수(순환변동치),경제심리지수_경제심리지수(원계열),설비투자지수_총지수,수입물가지수(기본분류)_총지수,수출물가지수(기본분류)_총지수,평균기온(°C),일강수량(mm),평균 풍속(m/s),y_norm,Pred,Pred_norm
2022-07-31,Office Product,0.0,7,31,6,22-Jul,0,108.74,80,83,100.0,97.8,126.3,130.33,111.91,26.9,38.0,1.8,0.0,120.58266480267048,0.093692824
2022-08-01,Office Product,310.0,8,1,0,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,32.0,1.8,0.24087024087024086,186.50575791299343,0.14491512
2022-08-02,Office Product,67.0,8,2,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.1,49.0,1.9,0.052059052059052056,160.25037923455238,0.12451467
2022-08-03,Office Product,91.0,8,3,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.0,49.0,1.9,0.0707070707070707,69.84325484186411,0.054268263
2022-08-04,Office Product,28.0,8,4,3,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.6,0.5,1.4,0.021756021756021756,105.99691651761532,0.08235969
2022-08-05,Office Product,8.0,8,5,4,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.9,0.0,1.6,0.006216006216006216,49.77759562432766,0.03867723
2022-08-06,Office Product,0.0,8,6,5,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.8,2.5,1.2,0.0,0.0,-0.013339907
2022-08-07,Office Product,0.0,8,7,6,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.4,1.0,1.6,0.0,67.47241917997599,0.052426122
2022-08-08,Office Product,169.0,8,8,0,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.2,381.5,2.1,0.13131313131313133,375.856081366539,0.29204047
2022-08-09,Office Product,177.0,8,9,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.3,134.0,1.5,0.13752913752913754,475.49005499482155,0.36945614
2022-08-10,Office Product,240.0,8,10,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.9,11.5,0.9,0.1864801864801865,475.341350376606,0.3693406
2022-08-11,Office Product,10.0,8,11,3,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.2,50.5,0.9,0.00777000777000777,575.5149104297161,0.44717553
2022-08-12,Office Product,169.5,8,12,4,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.2,0.0,0.9,0.1317016317016317,570.3676671087742,0.44317612
2022-08-13,Office Product,3.0,8,13,5,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.2,3.5,0.9,0.002331002331002331,472.9183127582073,0.3674579
2022-08-14,Office Product,0.0,8,14,6,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.4,0.5,1.3,0.0,460.5578406751156,0.3578538
2022-08-15,Office Product,0.0,8,15,0,22-Aug,1,108.62,80,78,98.5,99.3,129.2,128.1,109.49,27.7,1.5,3.2,0.0,627.8843274414539,0.4878666
2022-08-16,Office Product,1099.0,8,16,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.4,0.0,1.5,0.853923853923854,592.671748906374,0.4605064
2022-08-17,Office Product,70.0,8,17,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.5,0.0,1.0,0.05439005439005439,408.1565118134022,0.31713793
2022-08-18,Office Product,205.0,8,18,3,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.8,0.0,1.1,0.1592851592851593,355.68023613095284,0.27636382
2022-08-19,Office Product,2.0,8,19,4,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.7,37.5,1.6,0.001554001554001554,126.47866675257683,0.09827402
2022-08-20,Office Product,0.0,8,20,5,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.0,0.0,1.2,0.0,0.0,-0.11279653
2022-08-21,Office Product,0.0,8,21,6,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,28.1,0.0,1.0,0.0,0.0,-0.15135133
2022-08-22,Office Product,92.0,8,22,0,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,26.5,1.5,1.4,0.07148407148407149,83.92208607494831,0.065207526
2022-08-23,Office Product,7.5,8,23,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,25.3,3.5,1.3,0.005827505827505828,197.38535906374454,0.15336858
2022-08-24,Office Product,271.0,8,24,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,24.8,0.0,1.7,0.21056721056721056,207.42704401910305,0.16117097
2022-08-25,Office Product,929.0,8,25,3,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,22.2,1.5,0.8,0.7218337218337219,301.20093570649624,0.23403336
2022-08-26,Office Product,4.0,8,26,4,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.9,0.0,1.2,0.003108003108003108,210.18939435482025,0.16331732
2022-08-27,Office Product,0.0,8,27,5,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,21.7,0.5,1.9,0.0,68.74238231778145,0.053412884
2022-08-28,Office Product,0.0,8,28,6,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,23.0,0.0,1.3,0.0,47.48208075016737,0.036893614
2022-08-29,Office Product,108.0,8,29,0,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,20.6,2.0,1.5,0.08391608391608392,261.93303993344307,0.20352218
2022-08-30,Office Product,253.0,8,30,1,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,18.2,32.5,1.8,0.19658119658119658,333.5550064444542,0.2591725
2022-08-31,Office Product,79.0,8,31,2,22-Aug,0,108.62,80,78,98.5,99.3,129.2,128.1,109.49,21.1,0.0,1.1,0.061383061383061384,295.11854477226734,0.22930734
2022-09-01,Office Product,728.0,9,1,3,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.4,0.0,1.2,0.5656565656565656,373.9146365225315,0.29053196
2022-09-02,Office Product,165.0,9,2,4,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.6,0.0,2.3,0.1282051282051282,255.35386741161346,0.19841015
2022-09-03,Office Product,44.0,9,3,5,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.9,0.0,2.8,0.03418803418803419,68.16051365062594,0.052960772
2022-09-04,Office Product,0.0,9,4,6,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,22.2,22.5,2.1,0.0,6.89251730684191,0.0053554913
2022-09-05,Office Product,95.0,9,5,0,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,18.3,126.5,2.4,0.07381507381507381,214.71084706485271,0.1668305
2022-09-06,Office Product,21.0,9,6,1,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.5,27.0,2.3,0.016317016317016316,278.2240777015686,0.21618032
2022-09-07,Office Product,332.0,9,7,2,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.1,0.0,1.0,0.257964257964258,241.52709951996803,0.18766674
2022-09-08,Office Product,271.0,9,8,3,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.4,0.0,1.1,0.21056721056721056,260.3063794076443,0.20225826
2022-09-09,Office Product,0.0,9,9,4,22-Sep,1,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.7,0.0,1.5,0.0,177.4816659092903,0.13790339
2022-09-10,Office Product,0.0,9,10,5,22-Sep,1,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.8,0.0,1.4,0.0,38.62230408936739,0.03000956
2022-09-11,Office Product,0.0,9,11,6,22-Sep,1,108.93,74,82,97.0,98.0,122.3,125.44,106.66,23.2,0.0,1.5,0.0,53.81721104308963,0.041816015
2022-09-12,Office Product,0.0,9,12,0,22-Sep,1,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.1,0.0,1.0,0.0,329.4957961142063,0.2560185
2022-09-13,Office Product,1186.0,9,13,1,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.3,0.0,1.8,0.9215229215229215,441.98947817087173,0.34342617
2022-09-14,Office Product,698.0,9,14,2,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.4,0.0,3.2,0.5423465423465423,418.5165481567383,0.32518768
2022-09-15,Office Product,297.0,9,15,3,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,25.1,0.5,2.0,0.23076923076923078,489.8796911537647,0.3806369
2022-09-16,Office Product,38.5,9,16,4,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,25.6,13.0,2.1,0.029914529914529916,405.700641810894,0.3152297
2022-09-17,Office Product,957.0,9,17,5,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,25.5,2.5,0.9,0.7435897435897436,143.83951860666275,0.11176342
2022-09-18,Office Product,0.0,9,18,6,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,27.1,0.0,1.5,0.0,0.0,-0.1021841
2022-09-19,Office Product,210.5,9,19,0,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,24.8,0.0,2.2,0.16355866355866355,0.0,-0.02554489
2022-09-20,Office Product,310.0,9,20,1,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.0,0.0,1.5,0.24087024087024086,10.891704736277461,0.008462863
2022-09-21,Office Product,550.5,9,21,2,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,19.8,0.0,1.2,0.42773892773892774,0.0,-0.029192008
2022-09-22,Office Product,257.0,9,22,3,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,19.9,0.0,1.2,0.19968919968919968,30.311024336144328,0.02355169
2022-09-23,Office Product,752.0,9,23,4,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,17.6,1.5,1.7,0.5843045843045843,55.241258170455694,0.0429225
2022-09-24,Office Product,540.0,9,24,5,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,18.5,0.0,1.3,0.4195804195804196,35.599624782800674,0.027660936
2022-09-25,Office Product,0.0,9,25,6,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.3,0.0,1.0,0.0,154.3985437452793,0.11996779
2022-09-26,Office Product,76.5,9,26,0,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.5,0.0,0.9,0.05944055944055944,524.4633147418499,0.4075084
2022-09-27,Office Product,152.0,9,27,1,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,21.4,0.0,1.1,0.11810411810411811,670.9108216166496,0.5212982
2022-09-28,Office Product,1072.0,9,28,2,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.6,0.0,1.1,0.8329448329448329,700.9502284526825,0.5446389
2022-09-29,Office Product,177.0,9,29,3,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,20.4,0.0,0.8,0.13752913752913754,761.6651312112808,0.5918144
2022-09-30,Office Product,23.5,9,30,4,22-Sep,0,108.93,74,82,97.0,98.0,122.3,125.44,106.66,21.3,0.0,0.8,0.01825951825951826,658.9866827130318,0.51203316
2022-10-01,Office Product,180.0,10,1,5,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,21.4,0.0,0.9,0.13986013986013987,412.9579027891159,0.3208686
2022-10-02,Office Product,0.0,10,2,6,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,19.4,11.0,2.2,0.0,206.7088356167078,0.16061293
2022-10-03,Office Product,51.0,10,3,0,22-Oct,1,109.21,72,75,95.5,95.4,126.1,123.78,105.23,21.3,70.0,1.9,0.039627039627039624,263.83116213977337,0.20499702
2022-10-04,Office Product,177.0,10,4,1,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,17.6,14.5,1.8,0.13752913752913754,214.2765083760023,0.16649301
2022-10-05,Office Product,350.5,10,5,2,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,16.3,0.0,1.1,0.27233877233877235,102.39720614254475,0.07956271
2022-10-06,Office Product,163.0,10,6,3,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,15.9,0.0,1.5,0.12665112665112666,123.19289687275887,0.09572098
2022-10-07,Office Product,787.0,10,7,4,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,14.0,0.0,1.6,0.6114996114996115,55.45228582620621,0.04308647
2022-10-08,Office Product,0.0,10,8,5,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,15.3,0.0,1.6,0.0,0.0,-0.06511463
2022-10-09,Office Product,0.0,10,9,6,22-Oct,1,109.21,72,75,95.5,95.4,126.1,123.78,105.23,12.2,17.0,1.3,0.0,0.0,-0.009207346
2022-10-10,Office Product,0.0,10,10,0,22-Oct,1,109.21,72,75,95.5,95.4,126.1,123.78,105.23,8.7,5.5,2.3,0.0,241.4873631298542,0.18763587
2022-10-11,Office Product,1084.0,10,11,1,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,11.0,0.0,1.4,0.8422688422688422,298.86419816315174,0.23221771
2022-10-12,Office Product,16.0,10,12,2,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,13.4,0.0,1.2,0.012432012432012432,219.31167666614056,0.17040534
2022-10-13,Office Product,5.0,10,13,3,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,16.4,0.0,1.4,0.003885003885003885,350.42924094200134,0.2722838
2022-10-14,Office Product,40.5,10,14,4,22-Oct,0,109.21,72,75,95.5,95.4,126.1,123.78,105.23,17.2,0.0,0.9,0.03146853146853147,391.52495312690735,0.3042152
